SDR	7.7.6
03/08/2008 13:00:00	4.4	0.2	4.9	3.8	5.1	0.3	5.6	4.1	4.4	0.3	4.9	3.4	4.5	0.3	4.9	3.4									175	2	176	260	169	2	166	350					-3.9	0.0	-3.8	-4.0								
03/08/2008 13:10:00	4.2	0.2	4.9	3.4	4.8	0.3	5.3	3.9	4.2	0.3	4.9	3.0	4.2	0.4	5.3	3.0									175	3	182	260	168	3	166	350					-3.9	0.0	-3.8	-4.0								
03/08/2008 13:20:00	4.0	0.3	4.9	3.4	4.6	0.3	5.6	3.9	4.0	0.3	4.9	3.0	4.0	0.3	4.9	2.6									175	4	173	260	168	4	160	350					-3.9	0.0	-3.8	-4.0								
03/08/2008 13:30:00	3.8	0.3	4.6	2.6	4.3	0.3	5.0	3.0	3.7	0.4	4.6	2.6	3.7	0.4	4.6	2.3									175	3	179	260	168	3	174	350					-4.0	0.0	-3.8	-4.0								
03/08/2008 13:40:00	3.6	0.3	4.2	3.0	4.1	0.3	4.7	3.0	3.6	0.3	4.2	2.6	3.5	0.4	4.2	2.3									173	4	171	260	167	5	172	350					-4.0	0.0	-3.8	-4.0								
03/08/2008 13:50:00	3.5	0.2	4.2	3.0	4.0	0.3	4.4	3.3	3.6	0.3	4.2	2.6	3.6	0.3	4.6	3.0									170	3	163	260	162	4	151	350					-4.1	0.0	-4.0	-4.0								
03/08/2008 14:00:00	3.4	0.3	4.2	2.6	4.0	0.3	4.7	3.0	3.4	0.3	4.2	2.3	3.5	0.4	4.2	2.6									179	5	180	260	171	4	169	350					-4.1	0.0	-4.0	-4.2								
03/08/2008 14:10:00	3.7	0.2	4.2	3.0	4.3	0.2	4.7	3.6	3.8	0.3	4.6	3.0	3.8	0.3	4.6	3.0									174	3	175	260	168	3	170	350					-4.4	0.0	-4.0	-4.7								
03/08/2008 14:20:00	3.3	0.3	3.8	2.6	3.9	0.2	4.4	3.3	3.4	0.3	3.8	2.6	3.5	0.3	4.2	2.6									174	2	177	260	169	2	169	350					-4.6	0.0	-4.5	-4.7								
03/08/2008 14:30:00	3.1	0.3	3.8	2.3	3.7	0.3	4.4	2.7	3.1	0.4	3.8	1.9	3.2	0.4	4.2	2.3									176	3	175	260	169	4	165	350					-4.5	0.1	-4.2	-4.7								
03/08/2008 14:40:00	3.4	0.3	4.2	2.6	4.1	0.2	4.7	3.3	3.5	0.3	4.2	2.6	3.6	0.3	4.2	2.6									170	5	169	260	160	5	162	350					-4.4	0.0	-4.0	-4.5								
03/08/2008 14:50:00	3.1	0.2	3.8	2.6	3.6	0.2	4.1	3.3	3.1	0.3	3.4	2.3	3.2	0.3	3.8	2.6									163	4	156	260	155	4	156	350					-4.4	0.0	-4.5	-4.5								
03/08/2008 15:00:00	3.3	0.4	4.2	2.3	3.7	0.4	4.4	2.7	3.1	0.4	4.2	1.9	3.2	0.4	4.2	2.3									163	4	168	260	157	4	158	350					-4.3	0.0	-4.0	-4.5								
03/08/2008 15:10:00	2.8	0.3	3.4	1.9	3.2	0.2	3.9	2.4	2.7	0.3	3.4	1.9	2.9	0.3	3.8	2.3									158	7	162	260	150	5	143	350					-4.3	0.0	-4.0	-4.5								
03/08/2008 15:20:00	2.7	0.3	3.4	1.9	3.1	0.2	3.9	2.4	2.6	0.3	3.4	1.9	2.9	0.3	3.8	1.9									148	7	149	260	141	7	144	350					-4.4	0.1	-4.0	-4.5								
03/08/2008 15:30:00	2.8	0.4	3.8	1.9	3.2	0.3	3.9	2.4	2.6	0.4	3.4	1.5	2.8	0.4	3.8	1.5									145	9	148	260	138	7	132	350					-4.1	0.1	-3.8	-4.2								
03/08/2008 15:40:00	3.2	0.3	3.8	2.3	3.5	0.3	4.1	2.4	3.0	0.4	3.8	1.9	3.1	0.4	3.8	2.3									147	6	151	260	144	4	141	350					-4.3	0.0	-4.0	-4.5								
